amfi_code,tracking_error
100016,0.19928360293890285
100025,0.134535144155856
100033,0.22869942052083106
101206,0.1927064051369652
101207,0.29211742519291634
101208,0.12895689217736636
102885,0.18368034296960942
102886,0.22560814215136635
102887,0.20221623215661833
118632,0.19211519250390108
118633,0.19344939246000759
118634,0.2772863739829554
118635,0.18307639338664927
118636,0.13475826828890314
119092,0.18908165842556612
119093,0.1878998377218693
119094,0.23765197701108381
119095,0.28578133369850933
119120,0.1356464526704048
119551,0.19118256851630833
119552,0.19212721030300678
119598,0.2838814541332667
119599,0.2771351379626375
120503,0.19294776031543664
120504,0.1915870037972258
120505,0.23196750960046322
120506,0.1960048394985746
120507,0.12904357559503346
120841,0.18311878418576338
120842,0.21916937594238364
120843,0.20642496841144056
120844,0.12904556781048548
125497,0.19107208897596137
125498,0.22359208242967216
148567,0.1896636779215801
148568,0.2032134522514569
148569,0.2173651888925858
149322,0.19326406331048726
149323,0.21952116319885406
149324,0.27917030841826745
