amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,alpha,beta,max_drawdown,sharpe_ratio,sortino_ratio,tracking_error,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119092,1.6091186722522632,0.5258871209757432,5.5825550357928355,0.0689952982167755,0.009730745001153633,-0.14401617909337266,0.030784850954585892,0.05190796692700414,0.18908165842556612,1.64,36.0,31.0,30.0,39.5,26.0,100.0
100016,-2.224270997710287,1.292649342495622,2.3168434686413164,0.03747580763443281,-0.05826843143880889,-0.247344408806733,-0.20151706755966944,-0.34819649329934405,0.19928360293890285,1.55,35.0,35.0,39.0,32.0,7.0,98.41269841269845
102886,-16.797480944407305,-0.7674063178547241,1.0303498015576507,0.028969397866379445,-0.042125029021894335,-0.2800112356639287,-0.20583160785470317,-0.3449731643077219,0.22560814215136635,1.51,37.0,36.0,40.0,24.5,6.0,97.8835978835979
100025,3.704968580461343,3.9163899571040384,3.912652604315703,0.042817920315060876,0.0011582183155281445,-0.04308263824636346,-0.5670947928476847,-0.9153710101807714,0.134535144155856,0.56,34.0,39.0,38.0,2.0,37.0,95.38926681783826
101208,7.23664530138024,6.315784491375509,5.705734207350055,0.060861457957871144,0.00026670968338238357,-0.001622498024471732,-0.8155673679088283,-1.324583285823514,0.12895689217736636,0.79,31.0,40.0,33.0,11.0,38.0,94.78458049886622
119120,5.5219955107626895,5.840358798463097,5.164435669855361,0.05620895216638369,-0.0064138507282764734,-0.043287289239700974,-0.22657538662791585,-0.36652252228876125,0.1356464526704048,0.77,32.0,37.0,34.0,9.0,36.0,92.51700680272111
119095,-42.797614558854406,-11.705806723995272,1.3376247776951455,0.048015953637759554,-0.06695117463929202,-0.5167775370852657,-0.07597357117478934,-0.12704973476982598,0.28578133369850933,1.38,40.0,33.0,37.0,17.0,2.0,91.91232048374907
118636,10.454939683040276,4.062205023777143,4.6639279794601585,0.05074772999976104,0.0012566742731558473,-0.08316361763638701,-0.35662950751436806,-0.5990167703213257,0.13475826828890314,0.55,33.0,38.0,35.0,1.0,35.0,90.85411942554799
101207,-23.986031710270627,-4.152381044854481,6.953335702239261,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,0.16266076928646755,0.2746145221586029,0.29211742519291634,1.53,39.0,28.0,27.0,28.5,3.0,86.69690098261528
120844,7.120323042122512,6.695971624586994,6.0604313665645115,0.06455677495375998,-0.0004007442394784001,-0.0011629327956168764,-0.08874729621557491,-0.1478147085243143,0.12904556781048548,0.6,30.0,34.0,32.0,3.0,39.0,85.41194255479971
